full_name,weight
Aage Bohr,0.00025192211024965746
Aaldert Wapstra,2.6628267758808466
Abdus Salam,0.0003400393939819864
Abraham Alikhanov,0.0007004239688110771
Abraham H. Taub,1.0561214105138443
Abraham Pais,0.03987901232977162
Abram Ioffe,0.08728410666518874
Adolf Kratzer,0.5333169259027151
Adolfas Jucys,0.1045178911250998
Adriaan Fokker,0.006238669690215562
Akira Tonomura,0.4727662902849609
Alan Walsh (physicist),0.07771253513620209
Albert A. Michelson,0.00030293591854670403
Albert Einstein,1.6456232890042788e-09
Aleksandr Lyapunov,0.009493038393003217
Alexander Friedmann,0.035990663001639986
Alexander Graham Bell,0.25423927658051027
Alexander Prokhorov,0.17994086734808687
Alexei Zamolodchikov,0.10957337765671124
Alfred Kastler,0.1672769694944319
Alfred Lee Loomis,6.990599147671249
Alfred-Marie Liénard,0.6172527863255297
Ali Javan,0.011965679748663575
Ali Moustafa Mosharafa,0.0030673538131077275
Alladi Ramakrishnan,0.0002711611483262905
Allan McLeod Cormack,0.9822209412603053
Alvin M. Weinberg,0.0071102895565048705
Amal Kumar Raychaudhuri,0.035732648705367985
Amos Dolbear,13.044198432846056
Amrom Harry Katz,10.704524314943473
Anatoly Vlasov,0.03785247750882155
Andrei Sakharov,0.01056017982896325
Archibald Low,1.544263436081802
Ari Brynjolfsson,0.23773235859565062
Arnold Sommerfeld,0.0010005498527225394
Arpad Elo,0.006782663310713651
Arseny Sokolov,0.15715934703100645
Artem Alikhanian,0.003536843307578001
Arthur Compton,0.40287807028957207
Arthur Eddington,0.0018358876908826534
Arthur Iberall,10.704524314943473
Arthur Korn,0.17338964381923325
Arthur Leonard Schawlow,0.005490476900636521
Arthur Maitland,5.59202418432777
Arthur Wightman,0.38908260041644366
Asım Orhan Barut,3.415302896480597e-05
Baien Tomlin,5.59202418432777
Balthasar van der Pol,0.7173073209639949
Basilis C. Xanthopoulos,0.9733405872429016
Behram Kurşunoğlu,3.6673907846359975e-06
Benjamin W. Lee,1.3768271269869673e-06
Bernhard Philberth,0.5333169259027151
Bertha Swirles,0.15044857700028613
Bertram Brockhouse,0.1486344755240251
Bice Sechi-Zorn,0.005614069511692399
Boris Chirikov,0.07426244297821018
Boris Podolsky,5.9890915014192424e-05
Boyd Bartlett,14.150053045028763
Bruno Pontecorvo,8.721373808445454e-06
Bruno Rossi,0.07750788700170419
Bruno Touschek,2.2798500848536514e-06
Bruno Zumino,0.00018942388683087152
C. F. Powell,0.08976434041555871
C. V. Raman,6.486030918217125e-05
Carl David Anderson,0.014704400633264777
Carl Eckart,13.044198432846056
Carl Friedrich von Weizsäcker,0.07243332601045306
Carl Hermann,2.443353307430317
Carl Ramsauer,0.6280094017434668
Carl Sagan,0.005327352910230099
Carl-Gustaf Rossby,6.4082934986268375e-06
Carlo Marangoni,0.20780690615364358
Carolina Henriette MacGillavry,1.3866216863146785
César Lattes,0.5274498454668286
Charles Critchfield,0.006511819766469511
Charles Édouard Guillaume,0.004422977166781637
Charles Galton Darwin,0.0002985954054738116
Charles Glover Barkla,0.04554128550736056
Charles H. Henry,13.044198432846056
